,x0,y0,size : 0,x1,y1,size : 1,x2,y2,size : 2,x3,y3,size : 3,x4,y4,size : 4,x5,y5,size : 5
65,1572.5,373.5,,1628.5,555.5,,1139.5,232.5,,1074.5,93.5,,630.0,240.0,,1267.0,651.0,
66,1571.5,373.5,,1628.0,557.0,,1141.5,232.5,,1073.5,93.5,,630.0,240.0,,1267.0,651.0,
67,1572.5,373.5,,1627.0,554.0,,1141.5,233.5,,1074.5,93.5,,629.5,239.5,,1267.0,650.0,
68,1572.0,374.5,,1627.5,554.5,,1141.5,233.5,,1073.5,94.5,,628.5,238.5,,1267.5,649.5,
69,1572.0,374.0,,1627.5,553.5,,1142.5,232.5,,1073.5,93.5,,629.5,237.5,,1267.0,648.0,
70,1573.0,374.0,,1628.0,553.0,,1142.5,233.5,,1073.5,92.5,,629.5,236.5,,1267.0,647.0,
71,1572.5,373.5,,1627.0,554.0,,1141.5,232.5,,1073.5,93.5,,629.0,236.5,,1266.0,647.0,
72,1572.5,375.5,,1626.0,554.0,,1140.5,232.5,,1073.5,94.5,,628.5,236.5,,1265.5,646.0,
73,1573.0,375.0,,1626.5,554.5,,1140.5,232.5,,1074.5,95.5,,628.0,236.0,,1266.0,646.0,
74,1573.5,374.5,,1626.5,555.5,,1141.5,233.5,,1074.5,95.5,,628.0,235.0,,1266.0,646.0,
75,1572.0,373.5,,1626.0,556.0,,1140.5,233.5,,1073.5,96.5,,628.0,234.5,,1266.0,646.0,
76,1573.0,374.5,,1625.0,556.0,,1141.5,232.5,,1073.5,97.5,,627.5,235.5,,1266.0,648.0,
77,1572.5,374.5,,1625.5,555.5,,1142.5,232.5,,1073.5,97.5,,628.0,236.0,,1265.5,646.5,
78,1572.0,374.0,,1624.5,555.5,,1143.5,232.5,,1074.5,98.5,,629.0,235.0,,1265.5,646.0,
79,1573.0,373.5,,1624.0,556.0,,1143.5,232.5,,1074.5,97.5,,628.0,234.0,,1263.0,647.5,
80,1574.0,373.0,,1624.0,555.0,,1142.5,232.0,,1074.5,96.5,,627.0,235.0,,1262.5,648.5,
81,1574.0,373.0,,1624.0,556.0,,1142.5,231.5,,1073.5,96.5,,628.0,234.0,,1262.0,648.5,
82,1574.5,373.5,,1623.0,555.0,,1142.5,230.5,,1073.5,97.5,,627.5,234.5,,1263.0,648.5,
83,1575.5,373.5,,1621.5,555.5,,1140.5,230.5,,1073.5,98.5,,626.5,234.5,,1264.0,648.5,
84,1575.5,373.5,,1622.0,556.0,,1141.5,230.5,,1073.5,98.5,,626.5,234.0,,1264.0,648.5,
85,1575.0,374.0,,1622.5,553.5,,1143.0,231.5,,1074.5,99.5,,626.0,234.5,,1265.0,648.5,
86,1574.5,373.5,,1622.5,553.5,,1142.0,229.5,,1075.0,99.0,,626.5,233.0,,1264.0,648.5,
87,1574.5,373.5,,1622.5,551.5,,1141.5,228.5,,1073.5,98.5,,626.0,232.0,,1264.5,649.5,
88,1574.5,373.5,,1622.5,552.5,,1141.0,228.5,,1074.5,98.5,,626.0,232.5,,1264.5,649.0,
89,1574.0,374.0,,1622.0,554.0,,1141.0,228.5,,1075.5,97.5,,625.0,232.0,,1264.5,649.0,
90,1573.5,373.5,,1621.0,552.0,,1141.5,226.5,,1075.5,96.5,,625.0,231.0,,1264.0,649.0,
91,1573.0,374.0,,1622.0,552.0,,1141.5,225.5,,1075.5,97.5,,624.0,231.0,,1264.0,649.0,
92,1573.5,373.5,,1621.0,553.0,,1141.0,226.0,,1075.5,98.5,,624.5,231.5,,1265.5,649.0,
93,1574.0,373.0,,1620.0,553.0,,1140.0,225.0,,1074.5,98.5,,624.0,231.0,,1267.0,648.0,
94,1573.0,374.0,,1621.0,554.0,,1139.0,225.0,,1074.5,99.5,,624.0,231.5,,1265.5,648.0,
95,1573.5,373.5,,1620.5,552.5,,1138.5,225.0,,1075.5,98.5,,623.0,231.5,,1265.5,647.5,
96,1574.0,373.5,,1621.5,553.5,,1138.5,225.0,,1074.5,98.5,,622.5,230.5,,1265.5,648.5,
97,1573.0,374.0,,1622.0,554.0,,1138.5,224.5,,1075.5,99.5,,622.5,230.5,,1265.5,651.0,
98,1573.0,373.0,,1621.5,553.5,,1138.5,224.5,,1075.5,98.5,,623.0,231.5,,1265.0,651.5,
