Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
176,629,356,931,637,1341,703,1221,388,1801,1031,1159,746,1000,844
177,630,354,931,636,1342,702,1220,389,1801,1031,1160,748,999,845
178,630,356,932,637,1341,702,1220,388,1802,1031,1159,747,998,845
179,631,356,932,637,1340,703,1220,388,1802,1032,1158,748,998,845
180,631,356,932,637,1341,703,1220,388,1804,1033,1159,747,997,845
181,631,355,932,636,1339,702,1219,386,1804,1032,1158,748,998,844
182,632,356,934,636,1340,704,1218,386,1804,1031,1159,749,998,844
183,632,356,934,635,1340,703,1218,388,1804,1030,1158,748,999,845
184,632,356,934,636,1339,703,1218,385,1805,1030,1158,750,999,844
185,634,356,936,636,1340,703,1219,386,1804,1032,1157,749,998,844
186,633,356,934,634,1339,703,1218,385,1806,1032,1157,750,999,845
187,635,356,935,637,1339,703,1217,384,1806,1033,1158,750,999,846
188,635,356,935,637,1338,703,1215,385,1806,1033,1157,750,998,845
189,636,356,934,637,1339,703,1216,386,1805,1033,1157,750,1000,845
190,636,356,933,637,1338,703,1216,385,1806,1034,1156,750,1000,845
191,635,356,935,636,1338,703,1216,386,1805,1034,1156,750,1001,846
192,634,356,934,636,1339,704,1215,388,1807,1033,1155,751,1001,845
193,634,355,935,636,1337,703,1216,387,1806,1033,1156,750,1001,844
194,634,355,936,637,1338,702,1215,387,1806,1034,1154,749,1000,843
195,633,356,936,637,1339,702,1215,388,1806,1034,1154,749,1001,842
196,634,355,936,636,1340,702,1214,388,1807,1033,1155,749,1001,842
197,634,357,936,637,1341,702,1214,388,1808,1035,1154,750,1002,840
198,634,356,937,636,1340,702,1214,388,1808,1034,1155,750,1001,839
199,635,358,936,636,1341,702,1214,388,1809,1034,1155,750,1001,838
200,634,357,937,636,1341,700,1215,387,1810,1033,1154,751,1002,836
201,635,357,937,636,1343,700,1215,386,1810,1035,1154,753,1001,836
202,634,359,936,635,1342,700,1213,387,1811,1033,1154,751,1001,838
203,635,359,936,636,1342,698,1213,385,1810,1034,1153,752,1001,837
204,635,359,936,637,1343,698,1211,385,1810,1032,1154,754,1001,837
205,634,360,937,638,1343,698,1212,386,1810,1033,1154,753,1002,838
206,635,360,937,638,1342,697,1212,387,1810,1033,1153,753,1001,837
207,635,360,939,638,1342,698,1212,386,1810,1034,1154,754,1001,836
208,635,362,938,639,1343,699,1214,385,1811,1034,1153,754,1002,837
209,635,362,938,638,1342,699,1213,386,1810,1035,1154,753,1002,835
210,635,362,939,638,1341,700,1215,386,1811,1035,1154,753,1002,835
211,634,362,939,638,1340,700,1213,386,1810,1034,1153,752,1002,834
212,635,363,939,639,1341,700,1214,386,1811,1035,1155,752,1001,834
213,636,362,938,639,1339,699,1215,387,1809,1035,1154,751,1000,835
214,635,363,939,639,1340,701,1215,387,1809,1033,1155,749,1000,834
215,636,363,938,639,1341,700,1216,387,1810,1033,1155,750,999,835
216,635,362,938,640,1341,700,1216,387,1810,1034,1155,749,999,834
217,636,363,938,639,1341,700,1215,388,1810,1034,1155,750,999,833
218,637,363,937,640,1341,699,1215,387,1810,1034,1155,750,999,832
219,637,363,939,639,1342,700,1215,388,1811,1034,1156,751,998,831
220,637,363,938,640,1341,699,1214,389,1811,1034,1155,750,998,830
221,637,364,938,640,1341,699,1214,388,1810,1034,1155,751,999,831
222,638,365,939,640,1341,699,1215,390,1811,1035,1156,751,998,831
223,638,364,939,640,1340,699,1214,390,1811,1034,1155,753,998,830
224,639,364,939,642,1340,700,1214,392,1811,1034,1154,752,998,832
225,640,365,939,641,1341,699,1215,391,1811,1034,1154,752,998,831
226,640,364,938,642,1340,699,1215,392,1813,1033,1154,754,998,831
227,639,363,939,640,1342,701,1215,393,1812,1034,1153,753,999,830
228,639,363,938,641,1340,700,1216,393,1813,1034,1152,754,998,829
229,639,364,939,640,1340,701,1215,394,1813,1034,1152,753,999,829
230,639,364,939,640,1341,701,1216,394,1813,1034,1153,753,999,829
231,639,364,938,640,1341,701,1215,393,1813,1034,1152,754,999,830
232,639,364,939,639,1340,701,1215,394,1813,1035,1154,754,999,832
233,638,364,938,638,1340,700,1215,392,1813,1035,1153,754,1000,832
234,639,363,939,639,1339,701,1215,394,1812,1036,1152,755,1000,832
235,637,364,938,639,1341,701,1216,394,1813,1036,1153,754,999,832
236,637,365,938,640,1339,702,1215,394,1813,1036,1152,754,1000,831
237,637,364,939,640,1340,701,1216,394,1813,1036,1153,754,1000,832
238,637,366,938,639,1339,701,1217,395,1813,1034,1151,753,1000,832
239,636,365,938,640,1340,701,1218,394,1813,1035,1152,753,1001,833
240,636,365,938,640,1340,701,1217,393,1812,1035,1151,753,1001,832
241,637,365,938,640,1339,701,1217,392,1812,1035,1150,752,1000,833
242,637,365,936,640,1341,700,1217,392,1812,1034,1151,752,999,833
243,636,366,937,640,1342,700,1217,392,1811,1033,1153,753,1000,832
244,637,365,935,641,1341,700,1218,393,1810,1033,1152,751,1000,833
245,636,365,936,640,1341,700,1219,393,1810,1033,1152,752,1001,832
246,636,365,935,639,1341,700,1218,394,1811,1033,1152,751,1000,832
247,637,365,935,640,1342,701,1217,394,1811,1035,1152,753,1002,831
248,638,365,936,640,1342,702,1217,393,1811,1034,1150,753,1002,831
249,638,366,937,640,1341,701,1217,393,1811,1034,1151,753,1003,832
250,638,366,937,640,1340,703,1216,393,1812,1034,1151,754,1004,831
251,638,365,936,640,1341,703,1216,394,1812,1034,1151,754,1003,831
252,638,366,936,641,1341,703,1216,393,1812,1034,1151,753,1003,831
253,638,366,935,642,1341,701,1215,393,1813,1035,1151,753,1003,832
254,637,366,936,642,1340,701,1215,395,1813,1034,1149,753,1003,831
255,638,366,935,641,1341,702,1216,395,1813,1035,1150,753,1003,832
256,637,366,934,640,1339,702,1216,395,1813,1035,1151,754,1003,831
257,638,366,936,641,1340,701,1217,394,1813,1036,1151,754,1004,830
258,637,366,934,639,1339,701,1217,395,1812,1035,1151,754,1004,831
259,638,367,934,640,1339,701,1218,395,1813,1033,1151,754,1005,830
260,638,366,935,640,1340,701,1217,396,1814,1033,1150,755,1004,830
261,638,368,934,639,1341,702,1217,395,1816,1033,1150,754,1004,830
262,638,367,934,640,1340,702,1218,395,1815,1033,1151,754,1004,830
263,638,367,933,640,1341,702,1219,395,1817,1034,1151,754,1003,830
264,638,367,933,640,1341,701,1219,396,1817,1035,1150,754,1005,831
265,638,367,933,641,1340,701,1219,396,1819,1035,1151,755,1005,831
266,637,368,933,641,1340,702,1219,395,1819,1034,1152,756,1004,831
267,637,367,933,641,1340,701,1219,395,1819,1034,1151,755,1004,831
268,638,366,933,641,1341,703,1218,394,1820,1034,1152,756,1002,831
269,638,367,933,641,1341,702,1217,396,1820,1034,1152,757,1002,832
270,638,366,933,640,1342,703,1217,395,1821,1034,1152,758,1003,832
271,638,366,933,640,1341,703,1217,393,1820,1033,1153,758,1002,831
272,639,366,933,641,1341,703,1216,393,1821,1033,1153,757,1003,829
273,638,365,933,642,1340,702,1217,393,1822,1034,1154,757,1003,829
274,638,366,933,642,1341,701,1218,394,1822,1035,1154,757,1003,831
275,638,365,932,642,1341,700,1219,395,1822,1034,1155,757,1003,830
276,638,366,932,641,1341,700,1219,396,1821,1035,1155,757,1003,830
277,639,365,933,642,1340,700,1220,395,1821,1035,1154,757,1002,829
278,638,365,931,642,1341,699,1219,395,1822,1033,1153,757,1003,830
279,639,364,931,641,1341,699,1217,396,1822,1035,1154,757,1003,831
280,639,364,932,641,1341,699,1218,396,1822,1035,1154,756,1002,831
281,638,364,930,643,1341,698,1218,396,1822,1035,1155,756,1003,831
282,638,364,930,643,1341,697,1218,396,1823,1035,1154,755,1003,831
283,638,364,929,642,1341,698,1219,395,1823,1036,1155,756,1003,832
284,637,364,928,643,1340,697,1218,395,1822,1035,1155,756,1003,830
285,635,363,928,642,1339,697,1218,394,1822,1036,1155,757,1003,830
